,yearID,teamID,G,W,L,R,AB,H,BB,HBP,BA,OBP
2830,2016,SLN,162,86,76,779,5548,1415,526.0,70.0,0.25504686373467916,0.3273111979166667
2831,2016,TBA,162,68,94,672,5481,1333,449.0,69.0,0.24320379492793287,0.3085514252375396
2832,2016,TEX,162,95,67,765,5525,1446,436.0,70.0,0.2617194570135747,0.3236610843972807
2833,2016,TOR,162,89,73,759,5479,1358,632.0,55.0,0.24785544807446613,0.3316574764839442
2834,2016,WAS,162,95,67,763,5490,1403,536.0,64.0,0.25555555555555554,0.32889983579638754
2835,2017,ARI,162,93,69,812,5525,1405,578.0,54.0,0.25429864253393664,0.33084294299171674
2836,2017,ATL,162,72,90,732,5584,1467,474.0,66.0,0.26271489971346706,0.32772697583278904
2837,2017,BAL,162,75,87,743,5650,1469,392.0,50.0,0.26,0.31369008535784637
2838,2017,BOS,162,93,69,785,5669,1461,571.0,53.0,0.2577174104780385,0.33132051485777847
2839,2017,CHA,162,67,95,706,5513,1412,401.0,76.0,0.2561218937057863,0.31535893155258765
2840,2017,CHN,162,92,70,822,5496,1402,622.0,82.0,0.2550946142649199,0.3396774193548387
2841,2017,CIN,162,68,94,753,5484,1390,565.0,72.0,0.25346462436177974,0.33115504002613955
2842,2017,CLE,162,102,60,818,5511,1449,604.0,50.0,0.26292868807838865,0.3411192214111922
2843,2017,COL,162,87,75,824,5534,1510,519.0,44.0,0.2728586917238887,0.3400032803017878
2844,2017,DET,162,64,98,735,5556,1435,503.0,52.0,0.2582793376529878,0.325642284405171
2845,2017,HOU,162,101,61,896,5611,1581,509.0,70.0,0.281767955801105,0.34894991922455576
2846,2017,KCA,162,80,82,702,5536,1436,390.0,45.0,0.25939306358381503,0.31334784793166975
2847,2017,LAA,162,80,82,710,5415,1314,523.0,70.0,0.24265927977839336,0.31741011984021306
2848,2017,LAN,162,104,58,770,5408,1347,649.0,64.0,0.24907544378698224,0.3365463159614442
2849,2017,MIA,162,77,85,778,5602,1497,486.0,67.0,0.26722599071760084,0.3330625507717303
2850,2017,MIL,162,86,76,732,5467,1363,547.0,53.0,0.24931406621547467,0.3235536508983023
2851,2017,MIN,162,85,77,815,5557,1444,593.0,46.0,0.25985243836602484,0.33618463524854747
2852,2017,NYA,162,91,71,858,5594,1463,616.0,64.0,0.26153021094029316,0.34156837743066626
2853,2017,NYN,162,70,92,735,5510,1379,529.0,57.0,0.2502722323049002,0.32234251968503935
2854,2017,OAK,162,75,87,739,5464,1344,565.0,43.0,0.24597364568081992,0.3214756258234519
2855,2017,PHI,162,66,96,690,5535,1382,494.0,47.0,0.24968383017163506,0.3164911125740619
2856,2017,PIT,162,75,87,668,5458,1331,519.0,88.0,0.24386222059362403,0.31953833470733717
2857,2017,SDN,162,71,91,604,5356,1251,460.0,53.0,0.2335698282300224,0.3005622763673539
2858,2017,SEA,162,78,84,750,5551,1436,487.0,78.0,0.25869212754458654,0.32717462393721386
2859,2017,SFN,162,64,98,639,5551,1382,467.0,36.0,0.24896415060349486,0.3113643871820284
2860,2017,SLN,162,83,79,761,5470,1402,593.0,65.0,0.25630712979890313,0.33616187989556134
2861,2017,TBA,162,80,82,694,5478,1340,545.0,55.0,0.24461482292807593,0.3191839420862126
2862,2017,TEX,162,78,84,799,5430,1326,544.0,81.0,0.24419889502762432,0.32221304706853837
2863,2017,TOR,162,76,86,693,5499,1320,542.0,51.0,0.24004364429896344,0.3140183847669074
2864,2017,WAS,162,97,65,819,5553,1477,542.0,31.0,0.26598235188186564,0.3346392425726412
2865,2018,ARI,162,82,80,693,5460,1283,560.0,52.0,0.23498168498168498,0.3120882740447958
2866,2018,ATL,162,90,72,759,5582,1433,511.0,66.0,0.2567180222142601,0.3263516804676084
2867,2018,BAL,162,47,115,622,5507,1317,422.0,57.0,0.23915017250771745,0.300033411293017
2868,2018,BOS,162,108,54,876,5623,1509,569.0,55.0,0.2683620842966388,0.34144389306867295
2869,2018,CHA,162,62,100,656,5523,1332,425.0,66.0,0.2411732753938077,0.30312603924176923
2870,2018,CHN,163,95,68,761,5624,1453,576.0,78.0,0.2583570412517781,0.3356164383561644
2871,2018,CIN,162,67,95,696,5532,1404,559.0,65.0,0.25379609544468545,0.32943469785575047
2872,2018,CLE,162,91,71,818,5595,1447,554.0,80.0,0.2586237712243074,0.3340825172579868
2873,2018,COL,163,91,72,780,5541,1418,507.0,51.0,0.25591048547193646,0.32398753894080995
2874,2018,DET,162,64,98,630,5494,1326,428.0,52.0,0.241354204586822,0.3023100100435219
2875,2018,HOU,162,103,59,797,5453,1390,565.0,61.0,0.25490555657436276,0.3316334923507156
2876,2018,KCA,162,58,104,638,5505,1350,427.0,67.0,0.2452316076294278,0.30738456409401566
2877,2018,LAA,162,80,82,721,5472,1323,514.0,73.0,0.24177631578947367,0.3152335368872751
2878,2018,LAN,163,92,71,804,5572,1394,647.0,61.0,0.2501794687724336,0.3347133757961783
2879,2018,MIA,161,63,98,589,5488,1303,455.0,73.0,0.2374271137026239,0.30435505319148937
2880,2018,MIL,163,96,67,754,5542,1398,537.0,58.0,0.2522555034283652,0.3247515072510999
2881,2018,MIN,162,78,84,738,5526,1380,534.0,37.0,0.249728555917481,0.3199934393964245
2882,2018,NYA,162,100,62,851,5515,1374,625.0,62.0,0.24913871260199455,0.33231215736859077
2883,2018,NYN,162,77,85,676,5468,1282,566.0,73.0,0.23445501097293342,0.3145570656623547
2884,2018,OAK,162,97,65,813,5579,1407,550.0,76.0,0.2521957340025094,0.32763900080580177
2885,2018,PHI,162,80,82,677,5424,1271,582.0,64.0,0.23432890855457228,0.3158154859967051
2886,2018,PIT,161,82,79,692,5447,1381,474.0,59.0,0.2535340554433633,0.320066889632107
2887,2018,SDN,162,66,96,617,5486,1289,471.0,31.0,0.23496172074371127,0.29909819639278556
2888,2018,SEA,162,89,73,677,5513,1402,430.0,70.0,0.25430799927444225,0.3163146515882255
2889,2018,SFN,162,73,89,603,5541,1324,448.0,49.0,0.23894603862118752,0.3015899304405432
2890,2018,SLN,162,88,74,759,5498,1369,525.0,80.0,0.24899963623135685,0.3234474848435196
2891,2018,TBA,162,90,72,716,5475,1415,540.0,101.0,0.25844748858447486,0.33616742969260954
2892,2018,TEX,162,67,95,737,5453,1308,555.0,88.0,0.23986796258940032,0.3200459317585302
2893,2018,TOR,162,73,89,709,5477,1336,499.0,58.0,0.2439291582983385,0.31372224063639376
2894,2018,WAS,162,82,80,771,5517,1402,631.0,59.0,0.2541236179082835,0.3370388271306589
