,playerID,yearID,teamID,G,AB,R,H,RBI,BB,HBP,BA,OBP,batter,WH,AB_1-9,IABA,team
38,barmecl01,2015,SDN,98,207,24,48,16.0,10,4.0,0.2318840579710145,0.28054298642533937,425549,263.0,201,1.308457711442786,SD
39,barnebr02,2015,COL,106,255,30,64,17.0,21,3.0,0.25098039215686274,0.3154121863799283,488681,363.0,255,1.423529411764706,COL
40,barnhtu01,2015,CIN,81,242,23,61,18.0,25,2.0,0.25206611570247933,0.3271375464684015,571466,341.0,239,1.4267782426778242,CIN
41,barnhtu01,2016,CIN,115,377,34,97,51.0,36,2.0,0.2572944297082228,0.3253012048192771,571466,460.0,369,1.2466124661246611,CIN
42,barnhtu01,2017,CIN,121,370,26,100,44.0,42,3.0,0.2702702702702703,0.3493975903614458,571466,498.0,365,1.3643835616438356,CIN
43,barnhtu01,2018,CIN,138,460,50,114,46.0,54,2.0,0.24782608695652175,0.32945736434108525,571466,564.0,448,1.2589285714285714,CIN
44,bautijo02,2015,TOR,153,543,108,136,114.0,110,5.0,0.2504604051565378,0.38145896656534956,430832,718.0,574,1.2508710801393728,TOR
45,bautijo02,2016,TOR,116,423,68,99,69.0,87,3.0,0.23404255319148937,0.3684210526315789,430832,455.0,445,1.0224719101123596,TOR
46,bautijo02,2017,TOR,157,587,92,119,65.0,84,8.0,0.20272572402044292,0.31075110456553756,430832,524.0,576,0.9097222222222222,TOR
47,bautijo02,2018,NYN,83,245,37,50,37.0,51,5.0,0.20408163265306123,0.3521594684385382,430832,294.0,319,0.9216300940438872,PHI
48,bautijo02,2018,NYN,83,245,37,50,37.0,51,5.0,0.20408163265306123,0.3521594684385382,430832,294.0,319,0.9216300940438872,NYM
49,bautijo02,2018,NYN,83,245,37,50,37.0,51,5.0,0.20408163265306123,0.3521594684385382,430832,294.0,319,0.9216300940438872,ATL
50,beckhgo01,2015,CHA,100,211,24,44,20.0,19,2.0,0.20853080568720378,0.2801724137931034,493596,252.0,200,1.26,CWS
51,beckhgo01,2016,ATL,85,240,25,52,30.0,26,4.0,0.21666666666666667,0.3037037037037037,493596,295.0,240,1.2291666666666667,SF
52,beckhgo01,2016,ATL,85,240,25,52,30.0,26,4.0,0.21666666666666667,0.3037037037037037,493596,295.0,240,1.2291666666666667,ATL
53,beckhti01,2017,TBA,87,317,31,82,36.0,24,2.0,0.2586750788643533,0.31486880466472306,542921,689.0,519,1.3275529865125242,BAL
54,beckhti01,2017,TBA,87,317,31,82,36.0,24,2.0,0.2586750788643533,0.31486880466472306,542921,689.0,519,1.3275529865125242,TB
55,beckhti01,2017,BAL,50,216,36,66,26.0,12,2.0,0.3055555555555556,0.34782608695652173,542921,689.0,519,1.3275529865125242,BAL
56,beckhti01,2017,BAL,50,216,36,66,26.0,12,2.0,0.3055555555555556,0.34782608695652173,542921,689.0,519,1.3275529865125242,TB
57,beckhti01,2018,BAL,96,369,45,85,35.0,27,3.0,0.23035230352303523,0.2882205513784461,542921,376.0,363,1.0358126721763086,BAL
58,beltbr01,2015,SFN,137,492,73,138,68.0,56,4.0,0.2804878048780488,0.358695652173913,474832,682.0,481,1.4178794178794178,SF
59,beltbr01,2016,SFN,156,542,77,149,82.0,104,5.0,0.27490774907749077,0.39631336405529954,474832,721.0,546,1.3205128205128205,SF
