,playerID,yearID,teamID,G,AB,R,H,RBI,BB,HBP,BA,OBP
100102,cespeyo01,2015,NYN,57,230,39,66,44.0,14,4.0,0.28695652173913044,0.3387096774193548
100112,chiriro01,2015,TEX,78,233,33,54,34.0,28,5.0,0.2317596566523605,0.32706766917293234
100113,chiselo01,2015,CLE,106,333,38,82,44.0,23,1.0,0.24624624624624625,0.2969187675070028
100116,choosh01,2015,TEX,149,555,94,153,82.0,76,15.0,0.2756756756756757,0.37770897832817335
100125,coghlch01,2015,CHN,148,440,64,110,41.0,58,3.0,0.25,0.3413173652694611
100128,colabch01,2015,TOR,101,333,55,107,54.0,22,3.0,0.3213213213213213,0.3687150837988827
100139,congeha01,2015,HOU,73,201,25,46,33.0,23,2.0,0.22885572139303484,0.3141592920353982
100150,correca01,2015,HOU,99,387,52,108,68.0,40,1.0,0.27906976744186046,0.34813084112149534
100163,crawfbr01,2015,SFN,143,507,65,130,84.0,39,11.0,0.2564102564102564,0.3231597845601436
100167,croncj01,2015,LAA,113,378,37,99,51.0,17,5.0,0.2619047619047619,0.3025
100168,cruzne02,2015,SEA,152,590,90,178,93.0,59,5.0,0.3016949152542373,0.37003058103975534
100170,cuddymi01,2015,NYN,117,379,44,98,41.0,24,4.0,0.25857519788918204,0.3095823095823096
100179,darnatr01,2015,NYN,67,239,31,64,41.0,23,4.0,0.26778242677824265,0.34210526315789475
100182,davisch02,2015,BAL,160,573,100,150,117.0,84,8.0,0.2617801047120419,0.36390977443609024
100183,davisik02,2015,OAK,74,214,19,49,20.0,23,0.0,0.22897196261682243,0.3037974683544304
100184,daviskh01,2015,MIL,121,392,54,97,66.0,44,1.0,0.24744897959183673,0.32494279176201374
100185,davisra01,2015,DET,112,341,55,88,30.0,22,3.0,0.25806451612903225,0.3087431693989071
100195,dejesda01,2015,TBA,82,232,24,60,26.0,19,4.0,0.25862068965517243,0.3254901960784314
100197,dejesiv02,2015,CIN,76,201,15,49,28.0,19,1.0,0.24378109452736318,0.31221719457013575
100204,denorch01,2015,CHN,103,212,18,57,18.0,15,1.0,0.2688679245283019,0.3201754385964912
100208,deshide02,2015,TEX,121,425,83,111,37.0,53,3.0,0.2611764705882353,0.3471933471933472
100209,desmoia01,2015,WAS,156,583,69,136,62.0,45,3.0,0.2332761578044597,0.29160063391442154
100218,dickeco01,2015,COL,65,224,30,68,31.0,10,0.0,0.30357142857142855,0.3333333333333333
100222,dietrde01,2015,MIA,90,250,38,64,24.0,23,13.0,0.256,0.34965034965034963
100226,donaljo02,2015,TOR,158,620,122,184,123.0,73,6.0,0.2967741935483871,0.37625178826895567
100231,doziebr01,2015,MIN,157,628,101,148,77.0,61,7.0,0.2356687898089172,0.3103448275862069
100234,drewst01,2015,NYA,131,383,43,77,44.0,37,1.0,0.2010443864229765,0.27315914489311166
100236,dudalu01,2015,NYN,135,471,67,115,73.0,66,14.0,0.24416135881104034,0.35390199637023595
100240,duffyma01,2015,SFN,149,573,77,169,77.0,30,5.0,0.2949389179755672,0.3355263157894737
100247,dysonja01,2015,KCA,90,200,31,50,18.0,14,4.0,0.25,0.3119266055045872
100251,eatonad02,2015,CHA,153,610,98,175,56.0,58,14.0,0.28688524590163933,0.3621700879765396
100259,ellsbja01,2015,NYA,111,452,66,116,33.0,35,7.0,0.25663716814159293,0.31983805668016196
100261,encared01,2015,TOR,146,528,94,146,111.0,77,9.0,0.2765151515151515,0.3778501628664495
100264,escobal02,2015,KCA,148,612,76,157,47.0,26,8.0,0.2565359477124183,0.29566563467492263
100265,escobed01,2015,MIN,127,409,48,107,58.0,28,2.0,0.2616136919315403,0.3120728929384966
100266,escobyu01,2015,WAS,139,535,75,168,56.0,45,8.0,0.31401869158878504,0.3758503401360544
100267,espinda01,2015,WAS,118,367,59,88,37.0,33,6.0,0.23978201634877383,0.312807881773399
100269,ethiean01,2015,LAN,142,395,54,116,53.0,43,4.0,0.2936708860759494,0.36877828054298645
100284,fieldpr01,2015,TEX,158,613,78,187,98.0,64,11.0,0.30505709624796085,0.3808139534883721
100293,flahery01,2015,BAL,91,267,34,54,31.0,26,4.0,0.20224719101123595,0.2828282828282828
100297,florewi01,2015,NYN,137,483,55,127,59.0,19,4.0,0.2629399585921325,0.2964426877470356
100299,flowety01,2015,CHA,112,331,21,79,39.0,21,6.0,0.23867069486404835,0.29608938547486036
100302,forsylo01,2015,TBA,153,540,69,152,68.0,55,14.0,0.2814814814814815,0.36288998357963875
100303,fowlede01,2015,CHN,156,596,102,149,46.0,84,5.0,0.25,0.34744525547445254
100305,francje02,2015,PHI,119,326,34,84,45.0,13,1.0,0.25766871165644173,0.28823529411764703
100306,francma02,2015,PHI,80,304,45,85,50.0,26,4.0,0.27960526315789475,0.344311377245509
100311,frazito01,2015,CIN,157,619,82,158,89.0,44,7.0,0.2552504038772213,0.3119402985074627
100312,freemfr01,2015,ATL,118,416,62,115,66.0,56,7.0,0.2764423076923077,0.37160751565762007
100314,freesda01,2015,LAA,121,424,53,109,56.0,31,12.0,0.25707547169811323,0.32548179871520344
100320,fuldsa01,2015,OAK,120,290,34,57,22.0,30,2.0,0.19655172413793104,0.27639751552795033
100325,galvifr01,2015,PHI,151,559,63,147,50.0,30,3.0,0.2629695885509839,0.30405405405405406
100328,garciav01,2015,CHA,148,553,66,142,59.0,36,8.0,0.25678119349005424,0.31155778894472363
100336,gardnbr01,2015,NYA,151,571,94,148,66.0,68,6.0,0.2591943957968476,0.34418604651162793
100339,gattiev01,2015,HOU,153,566,66,139,88.0,30,3.0,0.24558303886925795,0.2871452420701169
100344,gennesc01,2015,MIL,114,375,42,99,29.0,12,4.0,0.264,0.29411764705882354
100348,giavojo01,2015,LAA,129,453,51,123,49.0,32,2.0,0.271523178807947,0.32238193018480493
100360,goinsry01,2015,TOR,128,376,52,94,45.0,39,1.0,0.25,0.32211538461538464
100361,goldspa01,2015,ARI,159,567,103,182,110.0,118,2.0,0.32098765432098764,0.4395924308588064
100365,gomesya01,2015,CLE,95,363,38,84,45.0,13,7.0,0.23140495867768596,0.27154046997389036
100366,gomezca01,2015,MIL,74,286,42,75,43.0,23,5.0,0.26223776223776224,0.32802547770700635
100370,gonzaad01,2015,LAN,156,571,76,157,90.0,62,6.0,0.27495621716287216,0.352112676056338
100371,gonzaca01,2015,COL,153,554,87,150,97.0,46,1.0,0.27075812274368233,0.3277870216306156
100374,gonzama01,2015,HOU,120,344,44,96,34.0,16,3.0,0.27906976744186046,0.3168044077134986
100379,gordoal01,2015,KCA,104,354,40,96,48.0,49,14.0,0.2711864406779661,0.381294964028777
100380,gordode01,2015,MIA,145,615,88,205,46.0,25,2.0,0.3333333333333333,0.3613707165109034
100383,gosean01,2015,DET,140,485,73,123,26.0,45,3.0,0.2536082474226804,0.32082551594746717
100390,grandcu01,2015,NYN,157,580,98,150,70.0,91,7.0,0.25862068965517243,0.36578171091445427
100391,grandya01,2015,LAN,115,355,43,83,47.0,65,2.0,0.23380281690140844,0.35545023696682465
100400,gregodi01,2015,NYA,155,525,57,139,56.0,33,11.0,0.26476190476190475,0.3216168717047452
100402,grichra01,2015,SLN,103,323,49,89,47.0,22,4.0,0.2755417956656347,0.32951289398280803
100407,guerral01,2015,LAN,106,219,25,51,36.0,7,2.0,0.2328767123287671,0.2631578947368421
100416,guyerbr01,2015,TBA,128,332,51,88,28.0,25,24.0,0.26506024096385544,0.35958005249343833
100417,gyorkje01,2015,SDN,128,421,34,104,57.0,27,5.0,0.24703087885985747,0.30022075055187636
100425,hamilbi02,2015,CIN,114,412,56,93,28.0,28,1.0,0.22572815533980584,0.2766439909297052
100435,hardyjj01,2015,BAL,114,411,45,90,37.0,20,0.0,0.21897810218978103,0.2552204176334107
100438,harpebr03,2015,WAS,153,521,118,172,99.0,124,5.0,0.33013435700575816,0.46307692307692305
100439,harrijo05,2015,PIT,114,418,57,120,28.0,19,7.0,0.28708133971291866,0.32882882882882886
100450,headlch01,2015,NYA,156,580,74,150,62.0,51,7.0,0.25862068965517243,0.32601880877742945
100453,hechaad01,2015,MIA,130,470,54,132,48.0,23,2.0,0.28085106382978725,0.31717171717171716
100460,hernace02,2015,PHI,127,405,57,110,35.0,40,2.0,0.2716049382716049,0.3400447427293065
100462,hernaen02,2015,LAN,76,202,24,62,22.0,11,2.0,0.3069306930693069,0.3488372093023256
100467,herreel01,2015,MIL,83,256,29,62,33.0,18,0.0,0.2421875,0.291970802919708
100470,herreod01,2015,PHI,147,495,64,147,41.0,28,8.0,0.296969696969697,0.3446327683615819
100474,heywaja01,2015,SLN,154,547,79,160,60.0,56,2.0,0.29250457038391225,0.3603305785123967
100475,hicksaa01,2015,MIN,97,352,48,90,33.0,34,2.0,0.2556818181818182,0.3247422680412371
100477,hillaa01,2015,ARI,116,313,32,72,39.0,31,1.0,0.23003194888178913,0.30144927536231886
100487,hollima01,2015,SLN,73,229,24,64,35.0,39,6.0,0.2794759825327511,0.3978102189781022
100489,holtbr01,2015,BOS,129,454,56,127,45.0,46,3.0,0.27973568281938327,0.3499005964214712
100493,hosmeer01,2015,KCA,158,599,98,178,93.0,61,3.0,0.29716193656093487,0.3650075414781297
100496,howarry01,2015,PHI,129,467,53,107,77.0,27,5.0,0.2291220556745182,0.2785571142284569
100503,hundlni01,2015,COL,103,366,45,110,43.0,21,1.0,0.3005464480874317,0.3402061855670103
100504,hunteto01,2015,MIN,139,521,67,125,81.0,35,6.0,0.2399232245681382,0.29537366548042704
100509,iannech01,2015,LAA,92,272,28,51,34.0,41,1.0,0.1875,0.2961783439490446
100511,iglesjo01,2015,DET,120,416,44,125,23.0,25,6.0,0.3004807692307692,0.348993288590604
100513,inciaen01,2015,ARI,132,524,73,159,45.0,26,4.0,0.30343511450381677,0.34115523465703973
100514,infanom01,2015,KCA,124,440,39,97,44.0,9,0.0,0.22045454545454546,0.23608017817371937
100518,jacksau01,2015,SEA,107,419,46,114,38.0,24,1.0,0.2720763723150358,0.3130630630630631
100531,jayjo02,2015,SLN,79,210,25,44,10.0,19,11.0,0.20952380952380953,0.30833333333333335
100555,jonesad01,2015,BAL,137,546,74,147,82.0,24,8.0,0.2692307692307692,0.3096885813148789
100560,josepca01,2015,BAL,100,320,38,75,49.0,27,3.0,0.234375,0.3
100561,joycema01,2015,LAA,93,247,17,43,21.0,30,4.0,0.17408906882591094,0.27402135231316727
100564,kangju01,2015,PIT,126,421,60,121,58.0,28,17.0,0.28741092636579574,0.3562231759656652
100575,kempma01,2015,SDN,154,596,80,158,100.0,39,5.0,0.2651006711409396,0.315625
100576,kendrho01,2015,LAN,117,464,64,137,54.0,27,2.0,0.2952586206896552,0.3367139959432049
100583,kiermke01,2015,TBA,151,505,62,133,40.0,24,2.0,0.2633663366336634,0.2994350282485876
100585,kinslia01,2015,DET,154,624,94,185,73.0,43,3.0,0.296474358974359,0.3447761194029851
100587,kipnija01,2015,CLE,141,565,86,171,52.0,57,9.0,0.30265486725663715,0.375594294770206
100607,lagarju01,2015,NYN,143,441,47,114,41.0,16,4.0,0.2585034013605442,0.29067245119305857
100612,lambja01,2015,ARI,107,350,38,92,34.0,36,1.0,0.26285714285714284,0.3333333333333333
100615,larocad01,2015,CHA,127,429,41,89,44.0,49,4.0,0.20745920745920746,0.2946058091286307
100622,lawribr01,2015,OAK,149,562,64,146,60.0,28,5.0,0.2597864768683274,0.30084033613445377
100631,lemahdj01,2015,COL,150,564,85,170,61.0,50,1.0,0.30141843971631205,0.359349593495935
100640,lindad01,2015,MIL,149,502,72,139,87.0,66,1.0,0.27689243027888444,0.36203866432337434
100642,lindofr01,2015,CLE,99,390,50,122,51.0,27,1.0,0.3128205128205128,0.3588516746411483
100653,loneyja01,2015,TBA,104,361,25,101,32.0,23,1.0,0.27977839335180055,0.3246753246753247
100654,longoev01,2015,TBA,160,604,74,163,73.0,51,6.0,0.26986754966887416,0.3328290468986384
100662,lowrije01,2015,HOU,69,230,35,51,30.0,28,3.0,0.2217391304347826,0.31417624521072796
100663,lucrojo01,2015,MIL,103,371,51,98,43.0,36,1.0,0.2641509433962264,0.33088235294117646
100669,machama01,2015,BAL,162,633,102,181,86.0,70,4.0,0.2859399684044234,0.3606789250353607
100675,maldoma01,2015,MIL,79,229,19,48,22.0,23,1.0,0.2096069868995633,0.2845849802371542
100681,marisja01,2015,HOU,133,339,46,80,36.0,18,5.0,0.2359882005899705,0.2845303867403315
100682,markani01,2015,ATL,156,612,73,181,53.0,70,3.0,0.2957516339869281,0.3708029197080292
100689,marteke01,2015,SEA,57,219,25,62,17.0,24,0.0,0.2831050228310502,0.35390946502057613
100690,martest01,2015,PIT,153,579,84,166,81.0,27,19.0,0.2867012089810017,0.3392
100695,martijd02,2015,DET,158,596,93,168,102.0,53,5.0,0.28187919463087246,0.345565749235474
100696,martile01,2015,TEX,95,288,26,63,25.0,16,2.0,0.21875,0.2647058823529412
100700,martiru01,2015,TOR,129,441,76,106,77.0,53,8.0,0.24036281179138322,0.33266932270916333
100701,martivi01,2015,DET,120,440,39,108,64.0,31,7.0,0.24545454545454545,0.3054393305439331
100712,mauerjo01,2015,MIN,158,592,69,157,66.0,67,1.0,0.2652027027027027,0.3409090909090909
100714,maxweju01,2015,SFN,100,249,26,52,26.0,20,3.0,0.20883534136546184,0.2757352941176471
100716,maybica01,2015,ATL,141,505,65,135,59.0,45,1.0,0.26732673267326734,0.32849364791288566
100722,mccanbr01,2015,NYA,135,465,68,108,94.0,52,11.0,0.23225806451612904,0.32386363636363635
100723,mccanja02,2015,DET,114,401,32,106,41.0,16,3.0,0.26433915211970077,0.2976190476190476
100726,mccutan01,2015,PIT,157,566,91,165,96.0,98,12.0,0.2915194346289753,0.4068047337278107
100743,mercejo03,2015,PIT,116,394,34,96,34.0,27,2.0,0.2436548223350254,0.29550827423167847
100746,middlwi01,2015,SDN,83,255,23,54,29.0,11,0.0,0.21176470588235294,0.24436090225563908
100749,millebr02,2015,SEA,144,438,44,113,46.0,47,2.0,0.2579908675799087,0.3326488706365503
100755,molinya01,2015,SLN,136,488,34,132,61.0,32,0.0,0.27049180327868855,0.3153846153846154
100759,montemi01,2015,CHN,113,347,36,86,53.0,49,4.0,0.2478386167146974,0.3475
100766,moralke01,2015,KCA,158,569,81,165,106.0,58,8.0,0.28998242530755713,0.3637795275590551
100768,morelmi01,2015,TEX,132,471,51,131,85.0,32,7.0,0.2781316348195329,0.3333333333333333
100775,morrilo01,2015,SEA,146,457,47,103,54.0,47,4.0,0.22538293216630198,0.3031496062992126
100781,mossbr01,2015,CLE,94,337,36,73,50.0,32,3.0,0.2166172106824926,0.2903225806451613
100784,moustmi01,2015,KCA,147,549,73,156,82.0,43,13.0,0.28415300546448086,0.3504132231404959
100792,murphda07,2015,CLE,84,206,22,61,27.0,16,1.0,0.2961165048543689,0.34977578475336324
100794,murphda08,2015,NYN,130,499,56,140,73.0,31,2.0,0.280561122244489,0.325187969924812
100798,myerswi01,2015,SDN,60,225,40,57,29.0,27,1.0,0.25333333333333335,0.3359683794466403
100799,napolmi01,2015,BOS,98,329,37,68,40.0,45,3.0,0.2066869300911854,0.3076923076923077
100830,norride01,2015,SDN,147,515,65,129,62.0,35,6.0,0.2504854368932039,0.3057553956834532
100840,odorro01,2015,TEX,120,426,54,111,61.0,23,14.0,0.2605633802816901,0.31965442764578833
100852,orlanpa01,2015,KCA,86,241,31,60,27.0,5,2.0,0.24896265560165975,0.2701612903225806
100854,ortizda01,2015,BOS,146,528,73,144,108.0,77,0.0,0.2727272727272727,0.3652892561983471
100861,owingch01,2015,ARI,147,515,59,117,43.0,26,1.0,0.22718446601941747,0.2656826568265683
100862,ozunama01,2015,MIA,123,459,47,119,44.0,30,3.0,0.25925925925925924,0.3089430894308943
100864,paganan01,2015,SFN,133,512,55,134,37.0,32,1.0,0.26171875,0.30642201834862387
100865,panikjo01,2015,SFN,100,382,59,119,37.0,38,5.0,0.31151832460732987,0.3811764705882353
100868,paredji01,2015,BAL,104,363,46,100,42.0,19,0.0,0.27548209366391185,0.31151832460732987
100873,parrage01,2015,MIL,100,323,53,106,31.0,20,3.0,0.3281733746130031,0.37283236994219654
100874,parrage01,2015,BAL,55,224,30,53,20.0,8,2.0,0.23660714285714285,0.2692307692307692
100878,paulsbe01,2015,COL,116,325,42,90,49.0,23,2.0,0.27692307692307694,0.32857142857142857
100882,pearcst01,2015,BAL,92,294,42,64,40.0,23,7.0,0.21768707482993196,0.29012345679012347
100884,pederjo01,2015,LAN,151,480,67,101,54.0,92,9.0,0.21041666666666667,0.3476764199655766
100885,pedrodu01,2015,BOS,93,381,46,111,42.0,38,2.0,0.29133858267716534,0.3586698337292161
100890,penabr01,2015,CIN,108,333,17,91,18.0,29,2.0,0.2732732732732733,0.33516483516483514
100892,pencehu01,2015,SFN,52,207,30,57,40.0,16,0.0,0.2753623188405797,0.3273542600896861
100895,peralda01,2015,ARI,149,462,61,144,78.0,44,4.0,0.3116883116883117,0.3764705882352941
100896,peraljh01,2015,SLN,155,579,64,159,71.0,50,5.0,0.27461139896373055,0.33753943217665616
100900,perezca02,2015,LAA,86,260,20,65,21.0,19,0.0,0.25,0.3010752688172043
100903,perezhe01,2015,MIL,90,230,13,62,21.0,4,0.0,0.26956521739130435,0.28205128205128205
100909,perezsa02,2015,KCA,142,531,52,138,70.0,13,4.0,0.2598870056497175,0.28284671532846717
100913,peterja01,2015,ATL,152,528,55,126,52.0,56,3.0,0.23863636363636365,0.3151618398637138
100914,petersh01,2015,MIL,93,201,22,52,16.0,20,0.0,0.25870646766169153,0.3257918552036199
100919,phegljo01,2015,OAK,73,225,27,56,34.0,14,3.0,0.24888888888888888,0.30165289256198347
100921,phillbr01,2015,CIN,148,588,69,173,70.0,27,4.0,0.2942176870748299,0.3295638126009693
100922,pierzaj01,2015,ATL,113,407,38,122,49.0,19,7.0,0.29975429975429974,0.3418013856812933
100923,pillake01,2015,TOR,159,586,76,163,56.0,28,5.0,0.2781569965870307,0.3166397415185784
100929,piscost01,2015,SLN,63,233,29,71,39.0,20,1.0,0.30472103004291845,0.36220472440944884
100930,plaweke01,2015,NYN,73,233,18,51,21.0,17,4.0,0.21888412017167383,0.28346456692913385
100931,plouftr01,2015,MIN,152,573,74,140,86.0,50,4.0,0.2443280977312391,0.3094098883572568
100932,polangr01,2015,PIT,153,593,83,152,52.0,55,1.0,0.2563237774030354,0.3204930662557781
100934,polloaj01,2015,ARI,157,609,111,192,76.0,53,2.0,0.31527093596059114,0.37198795180722893
100938,poseybu01,2015,SFN,150,557,74,177,95.0,56,3.0,0.3177737881508079,0.38311688311688313
100939,pradoma01,2015,MIA,129,500,52,144,63.0,37,5.0,0.288,0.34317343173431736
100945,puigya01,2015,LAN,79,282,30,72,38.0,26,2.0,0.2553191489361702,0.3225806451612903
100946,pujolal01,2015,LAA,157,602,85,147,95.0,50,6.0,0.2441860465116279,0.30851063829787234
100952,ramiral03,2015,CHA,154,583,54,145,62.0,31,1.0,0.24871355060034306,0.28780487804878047
100953,ramirar01,2015,MIL,81,279,25,69,42.0,16,4.0,0.24731182795698925,0.2976588628762542
100956,ramirha01,2015,BOS,105,401,59,100,53.0,21,4.0,0.24937655860349128,0.2934272300469484
100959,ramirjo01,2015,CLE,97,315,50,69,27.0,32,1.0,0.21904761904761905,0.29310344827586204
100966,ramoswi01,2015,WAS,128,475,41,109,68.0,21,0.0,0.2294736842105263,0.2620967741935484
100968,rasmuco01,2015,HOU,137,432,67,103,61.0,47,2.0,0.23842592592592593,0.316008316008316
100975,realmjt01,2015,MIA,126,441,49,114,47.0,19,2.0,0.2585034013605442,0.2922077922077922
100978,reddijo01,2015,OAK,149,526,67,143,77.0,49,0.0,0.2718631178707224,0.3339130434782609
100986,rendoan01,2015,WAS,80,311,43,82,25.0,36,4.0,0.26366559485530544,0.3475783475783476
100987,reverbe01,2015,PHI,96,366,49,109,26.0,19,1.0,0.2978142076502732,0.33419689119170987
100988,reverbe01,2015,TOR,56,226,35,72,19.0,13,1.0,0.3185840707964602,0.35833333333333334
100989,reyesjo01,2015,TOR,69,288,36,82,34.0,17,0.0,0.2847222222222222,0.32459016393442625
100992,reynoma01,2015,SLN,140,382,35,88,48.0,44,4.0,0.23036649214659685,0.31627906976744186
100998,riosal01,2015,KCA,105,385,40,98,32.0,15,5.0,0.2545454545454545,0.291358024691358
101000,riverre01,2015,TBA,110,298,16,53,26.0,11,3.0,0.17785234899328858,0.21474358974358973
101002,rizzoan01,2015,CHN,160,586,94,163,101.0,78,30.0,0.2781569965870307,0.3904899135446686
