,yearID,teamID,G,W,L,R,AB,H,BB,HBP,BA,OBP,WH,AB_1-9,IABA
0,2015,ARI,162,79,83,720,5649,1494,490.0,33.0,0.26447158789166225,0.326798444588464,8068.0,6442,1.2524060850667496
1,2015,ATL,162,67,95,573,5420,1361,471.0,44.0,0.2511070110701107,0.3160909856781803,8617.0,6893,1.250108806035108
2,2015,BAL,162,81,81,713,5485,1370,418.0,51.0,0.2497721057429353,0.3088679879072892,8012.0,6415,1.2489477786438037
3,2015,BOS,162,78,84,748,5640,1495,478.0,46.0,0.2650709219858156,0.3275470473718365,7402.0,5874,1.2601293837248893
4,2015,CHA,162,76,86,622,5533,1381,404.0,65.0,0.24959334899692753,0.30823058980339885,6016.0,4947,1.2160905599353142
5,2015,CHN,162,97,65,689,5491,1341,567.0,74.0,0.24421781096339465,0.32322243966079583,7829.0,6455,1.212858249419055
6,2015,CIN,162,64,98,640,5571,1382,496.0,42.0,0.24807036438700414,0.3142903912260599,5984.0,4808,1.2445923460898503
7,2015,CLE,161,81,80,669,5439,1395,533.0,39.0,0.2564809707666851,0.32723340542339047,9101.0,7422,1.2262193478846672
8,2015,COL,162,68,94,737,5572,1479,388.0,33.0,0.26543431442928933,0.3170365426330719,7492.0,5707,1.3127737865778868
9,2015,DET,161,74,87,689,5605,1515,455.0,41.0,0.27029438001784123,0.3296180953941977,8001.0,6036,1.3255467196819086
10,2015,HOU,162,86,76,729,5459,1363,486.0,56.0,0.24967942846675215,0.3174470921513081,6872.0,5769,1.1911943144392443
11,2015,KCA,162,95,67,724,5575,1497,383.0,77.0,0.2685201793721973,0.32427506213753104,8568.0,6682,1.2822508231068543
12,2015,LAA,162,85,77,661,5417,1331,435.0,58.0,0.24570795643345025,0.3086294416243655,7478.0,6127,1.2204994287579567
13,2015,LAN,162,92,70,667,5385,1346,563.0,60.0,0.2499535747446611,0.32772969374167776,7861.0,6372,1.2336785938480854
14,2015,MIA,162,71,91,613,5463,1420,375.0,39.0,0.25993044114955155,0.31206397822018034,6841.0,5163,1.3250048421460392
